Passenger_ID,Passenger_Full_Name,Gender,Age,Customer_Type,Travel_Purpose,Cabin_Class,Origin_Destination_Route,Booking_Channel,Flight_Distance_KM,Departure_Delay_Min,Arrival_Delay_Min,Ticket_Fare,Seat_Comfort_Rating,Food_Service_Rating,Online_Booking_Experience,Flight_Status,Passenger_Satisfaction
AXP100010,Jared Washington,female,34.0,Returning,Education,Business ,HYD-AMD,Travel Agent,3794,133,27.0,"₹39,947",2,,1,Cancelled,Satisfied
AXP100011,Shane Hendricks,Male,38.0,Returning,Medical,First,PNQ-HYD,Corporate Portal,1609,17,193.0,"₹27,766",1,3.0,3,On Time,Satisfied
AXP100012,Anthony Kelly,Female,26.0,First-Time,Personal,Economy,COK-GOI,Website,4766,112,37.0,"₹41,560",4,3.0,3,Cancelled,Neutral
AXP100013,Heather Sexton,male,26.0,Returning,Education,Economy,MAA-BLR,Mobile App,3390,28,118.0,"₹5,218",5,4.0,4,On Time,Satisfied
AXP100014,Matthew Roach,F,39.0,Returning,Medical,Business,BOM-PNQ,Website,4691,76,36.0,"₹24,126",3,5.0,3,On Time,Satisfied
AXP100015,Richard Williams,M,68.0,Returning,Business,Business ,CCU-MAA,Mobile App,1755,58,114.0,"₹9,855",1,3.0,3,Delayed,Satisfied
AXP100016,Suzanne Guzman,Female,51.0,Returning,Education,Business,BOM-HYD,Travel Agent,1004,174,67.0,"₹44,253",5,1.0,5,Delayed,Neutral
AXP100017,Vincent Robinson,Female,55.0,First-Time,Business,Business,CCU-DEL,Travel Agent,1479,125,176.0,"₹26,519",5,2.0,2,On Time,Satisfied
AXP100018,Jennifer Kane,Female,39.0,First-Time,Personal,Business ,DEL-PNQ,Website,3777,144,,"₹3,517",2,3.0,3,Delayed,Dissatisfied
AXP100019,John Patterson,male,18.0,First-Time,Business,First,DEL-CCU,Mobile App,3101,108,163.0,"₹13,403",2,3.0,3,Cancelled,Dissatisfied
AXP100020,Stacy Miles,M,37.0,First-Time,Medical, Economy,CCU-GOI,Corporate Portal,1587,21,57.0,"₹30,617",1,5.0,1,On Time,Neutral
AXP100021,Kevin Harris,female,68.0,First-Time,Business,Business ,MAA-BLR,Mobile App,4888,67,12.0,"₹34,162",5,1.0,4,Cancelled,Satisfied
AXP100022,Martin Henry,female,17.0,Returning,Education, Economy,COK-AMD,Corporate Portal,2961,68,51.0,"₹24,935",2,2.0,1,Delayed,Satisfied
AXP100023,Sarah Obrien,M,39.0,Returning,Personal, Economy,DEL-PNQ,Travel Agent,2879,164,57.0,"₹25,064",3,3.0,5,Cancelled,Dissatisfied
AXP100024,Carlos Smith,male,59.0,Returning,Education,First,DEL-AMD,Website,2306,48,31.0,"₹9,567",3,2.0,2,Cancelled,Dissatisfied
AXP100025,Daniel Rodgers,Male,45.0,Returning,Medical,Business ,MAA-GOI,Corporate Portal,4423,140,104.0,"₹15,262",5,4.0,4,Cancelled,Neutral
AXP100026,Jennifer Watkins,female,53.0,First-Time,Business,Business ,CCU-GOI,Travel Agent,2968,161,187.0,"₹26,462",2,3.0,1,On Time,Satisfied
AXP100027,Veronica Perry,female,17.0,First-Time,Medical,Business ,HYD-DEL,Website,4153,108,82.0,"₹23,072",1,3.0,3,Cancelled,Satisfied
AXP100028,Brian Munoz,M,79.0,First-Time,Business, Economy,BLR-HYD,Corporate Portal,3386,85,185.0,"₹13,665",1,4.0,3,Delayed,Dissatisfied
AXP100029,Cory Mccann,male,75.0,First-Time,Personal,First,MAA-DEL,Mobile App,3480,52,98.0,"₹33,594",1,5.0,4,Cancelled,Dissatisfied
AXP100030,Bonnie Hartman,male,36.0,Returning,Personal,Economy,HYD-DEL,Corporate Portal,2773,122,103.0,"₹38,833",3,3.0,3,Cancelled,Satisfied
AXP100031,Richard Bright,Female,48.0,Returning,Medical,Business ,PNQ-MAA,Website,4816,86,183.0,"₹15,200",2,2.0,1,On Time,Satisfied
AXP100032,Julie Scott,male,27.0,First-Time,Personal,Economy,COK-CCU,Website,2799,178,27.0,"₹4,425",2,1.0,1,On Time,Satisfied
AXP100033,Devin Parsons,Female,73.0,First-Time,Business, Economy,BOM-CCU,Mobile App,4233,130,128.0,"₹31,770",3,2.0,3,On Time,Neutral
AXP100034,Shelby Rasmussen DDS,F,37.0,Returning,Business, Economy,CCU-HYD,Mobile App,436,41,169.0,"₹43,410",1,5.0,3,Delayed,Dissatisfied
AXP100035,Krista Cabrera,male,76.0,First-Time,Education,Business,MAA-DEL,Corporate Portal,1504,97,47.0,"₹32,913",1,1.0,5,On Time,Dissatisfied
AXP100036,Cynthia Costa,M,59.0,Returning,Business,First,GOI-BOM,Mobile App,3630,159,39.0,"₹41,900",5,2.0,2,On Time,Neutral
AXP100037,Timothy Kelly,Female,40.0,First-Time,Education,Business,AMD-HYD,Corporate Portal,1501,108,96.0,"₹40,746",4,2.0,4,Cancelled,Neutral
AXP100038,John Vargas,F,64.0,Returning,Personal,Economy,BOM-COK,Mobile App,2741,50,190.0,"₹31,506",2,4.0,1,Delayed,Neutral
AXP100039,John Ward,Male,42.0,Returning,Education, Economy,PNQ-MAA,Travel Agent,2251,84,199.0,"₹29,170",2,5.0,4,On Time,Satisfied
AXP100040,Linda Lawson,Male,74.0,First-Time,Medical,Business ,AMD-HYD,Mobile App,641,173,113.0,"₹34,036",2,4.0,5,Cancelled,Satisfied
AXP100041,Mark Briggs,Male,78.0,First-Time,Business,Business ,CCU-BLR,Mobile App,2276,126,131.0,"₹18,963",4,1.0,1,On Time,Satisfied
AXP100042,Kayla Gray,Female,57.0,Returning,Medical,First,HYD-BLR,Website,3380,20,165.0,"₹19,552",5,4.0,5,Delayed,Dissatisfied
AXP100043,Joseph Pittman,male,79.0,First-Time,Education,Economy,CCU-PNQ,Travel Agent,2857,43,154.0,"₹27,459",4,5.0,5,On Time,Dissatisfied
AXP100044,Edward Rodriguez,Female,43.0,First-Time,Personal,Business,MAA-DEL,Travel Agent,3998,138,136.0,"₹42,383",1,3.0,3,Cancelled,Dissatisfied
AXP100045,Rodney Galloway,Male,75.0,First-Time,Education,Economy,HYD-GOI,Website,1004,102,110.0,"₹25,143",1,3.0,4,Cancelled,Neutral
AXP100046,Lisa Eaton,male,31.0,First-Time,Medical,Economy,CCU-HYD,Travel Agent,274,67,143.0,"₹34,624",2,1.0,4,Cancelled,Dissatisfied
AXP100047,Antonio Rich,F,30.0,First-Time,Education,First,COK-PNQ,Travel Agent,2375,128,,"₹29,289",3,3.0,3,On Time,Neutral
AXP100048,Leslie Johnson,Male,77.0,Returning,Medical,Business,COK-BOM,Website,4124,91,75.0,"₹22,672",2,4.0,4,On Time,Satisfied
AXP100049,Edward Henry,M,77.0,First-Time,Business,Business ,MAA-BOM,Corporate Portal,2289,23,30.0,"₹5,629",3,1.0,3,Delayed,Satisfied
AXP100050,Angela Barton,male,62.0,First-Time,Medical,Business ,HYD-AMD,Corporate Portal,240,124,118.0,"₹18,355",4,5.0,1,On Time,Satisfied
AXP100051,Dr. John Thomas Jr.,Female,77.0,First-Time,Medical, Economy,AMD-MAA,Corporate Portal,2281,140,141.0,"₹36,224",1,1.0,5,Cancelled,Dissatisfied
AXP100052,Bryan Mcdowell,Female,66.0,Returning,Medical,Business,GOI-PNQ,Corporate Portal,4883,110,24.0,"₹10,068",3,1.0,5,On Time,Dissatisfied
AXP100053,David Aguirre,M,59.0,First-Time,Medical, Economy,GOI-PNQ,Travel Agent,1822,97,33.0,"₹30,589",4,2.0,4,Delayed,Neutral
AXP100054,Margaret Good,female,70.0,Returning,Education,First,CCU-HYD,Travel Agent,541,138,66.0,"₹30,911",1,2.0,2,On Time,Satisfied
AXP100055,Paul Garcia,Female,67.0,First-Time,Business,Economy,BOM-AMD,Corporate Portal,4252,178,151.0,"₹20,652",3,1.0,5,On Time,Satisfied
AXP100056,Linda Myers,M,79.0,Returning,Personal,Business ,COK-DEL,Travel Agent,2274,16,117.0,"₹40,846",2,3.0,3,Cancelled,Neutral
AXP100057,Brittany Bowman,Male,72.0,First-Time,Education,Economy,BLR-DEL,Website,845,98,72.0,"₹29,263",2,2.0,2,Delayed,Satisfied
AXP100058,Megan Montgomery,Male,18.0,Returning,Education,Economy,BOM-BOM,Mobile App,4463,81,25.0,"₹41,867",2,5.0,2,On Time,Dissatisfied
AXP100059,Laura Pope,Female,52.0,Returning,Education,Business ,PNQ-GOI,Corporate Portal,809,103,147.0,"₹4,871",4,4.0,5,Delayed,Dissatisfied
AXP100060,Tanner Hammond,male,66.0,First-Time,Medical,Business ,DEL-PNQ,Corporate Portal,654,151,191.0,"₹13,749",2,2.0,5,On Time,Satisfied
AXP100061,Jerry Forbes,female,22.0,First-Time,Personal,Business,PNQ-GOI,Travel Agent,3153,18,103.0,"₹36,567",5,1.0,5,Delayed,Satisfied
AXP100062,Deborah Mitchell,Female,36.0,First-Time,Education,Business ,COK-AMD,Mobile App,1908,164,9.0,"₹13,904",1,3.0,3,Delayed,Satisfied
AXP100063,Desiree Clements,Male,24.0,Returning,Education, Economy,MAA-AMD,Mobile App,3672,84,66.0,"₹22,698",4,4.0,2,On Time,Dissatisfied
AXP100064,Nicole Jackson,male,54.0,First-Time,Personal,Business ,BLR-DEL,Corporate Portal,3169,7,151.0,"₹42,115",2,2.0,4,On Time,Dissatisfied
AXP100065,Jennifer Haynes,M,33.0,Returning,Business,Economy,AMD-MAA,Corporate Portal,3228,27,4.0,"₹37,346",1,3.0,3,On Time,Dissatisfied
AXP100066,Ashley Galvan,Male,19.0,First-Time,Personal,Economy,CCU-DEL,Travel Agent,4997,4,194.0,"₹16,006",3,3.0,1,Cancelled,Neutral
AXP100067,Meghan Marsh,M,40.0,Returning,Personal,Business,MAA-PNQ,Corporate Portal,2881,144,185.0,"₹40,223",2,3.0,5,On Time,Neutral
AXP100068,Martin Mckinney,female,75.0,First-Time,Medical,Economy,BOM-COK,Travel Agent,3829,100,26.0,"₹12,145",1,1.0,2,Cancelled,Satisfied
AXP100069,Christina Steele,female,29.0,First-Time,Education, Economy,BLR-MAA,Website,4425,163,112.0,"₹11,512",5,5.0,3,Cancelled,Satisfied
AXP100070,Joshua Murray,F,65.0,Returning,Medical,Business,AMD-BOM,Website,3267,117,14.0,"₹24,833",3,3.0,1,Delayed,Satisfied
AXP100071,Raymond Miller,male,73.0,Returning,Business,Business ,AMD-DEL,Website,1586,146,162.0,"₹6,525",5,4.0,3,Delayed,Neutral
AXP100072,Lisa Crosby,Male,,First-Time,Education,Business ,MAA-AMD,Website,3976,63,104.0,"₹8,924",1,2.0,3,Cancelled,Satisfied
AXP100073,Zachary Williams,M,41.0,First-Time,Business,Business ,GOI-HYD,Website,3066,90,180.0,"₹23,268",5,4.0,4,Cancelled,Satisfied
AXP100074,Lisa Stokes,M,68.0,First-Time,Business,Economy,BOM-CCU,Corporate Portal,4988,116,43.0,"₹12,270",1,1.0,4,Cancelled,Neutral
AXP100075,Melissa Cook,M,17.0,Returning,Education,Economy,BOM-AMD,Website,3563,97,25.0,"₹25,682",1,1.0,3,Cancelled,Dissatisfied
AXP100076,Kevin Bell,Female,35.0,First-Time,Medical,First,AMD-BLR,Corporate Portal,4324,10,174.0,"₹33,062",5,4.0,1,Delayed,Satisfied
AXP100077,Meghan Sharp,Female,43.0,Returning,Education, Economy,GOI-CCU,Website,348,53,161.0,"₹28,951",1,5.0,2,On Time,Satisfied
AXP100078,Jennifer Lucas,female,62.0,Returning,Personal,Business ,COK-BLR,Corporate Portal,4050,172,94.0,"₹13,835",2,1.0,2,Cancelled,Satisfied
AXP100079,Charles Morrison,F,75.0,First-Time,Education, Economy,DEL-CCU,Website,2258,46,177.0,"₹33,185",1,1.0,5,Cancelled,Neutral
AXP100080,Derek Jennings,female,22.0,Returning,Personal,Business ,MAA-HYD,Travel Agent,1336,139,83.0,"₹3,055",4,4.0,5,Delayed,Satisfied
AXP100081,Christine Warren,F,59.0,Returning,Personal,Business,BLR-HYD,Corporate Portal,386,148,139.0,"₹12,665",1,1.0,2,Delayed,Satisfied
AXP100082,Donald Clay,female,76.0,Returning,Personal, Economy,GOI-DEL,Mobile App,3054,138,131.0,"₹16,133",4,5.0,3,Cancelled,Satisfied
AXP100083,Jordan Wood,M,23.0,First-Time,Education, Economy,DEL-COK,Mobile App,1450,4,86.0,"₹14,276",1,5.0,3,On Time,Dissatisfied
AXP100084,Brian Jefferson,Female,62.0,Returning,Medical,Economy,DEL-AMD,Corporate Portal,1533,19,175.0,"₹22,744",1,5.0,4,Delayed,Neutral
AXP100085,Ernest Benjamin,female,50.0,Returning,Education,First,BOM-BOM,Corporate Portal,4393,168,182.0,"₹23,154",5,2.0,4,Delayed,Neutral
AXP100086,Raymond Hughes,male,29.0,Returning,Business,Economy,COK-AMD,Website,4350,45,111.0,"₹8,267",2,5.0,5,Delayed,Dissatisfied
AXP100087,Maria Jones,female,32.0,Returning,Medical, Economy,BOM-MAA,Mobile App,2911,11,,"₹15,097",2,5.0,2,Delayed,Dissatisfied
AXP100088,Kenneth Galvan,male,51.0,First-Time,Medical,Business,AMD-GOI,Corporate Portal,4701,69,88.0,"₹18,478",3,2.0,3,On Time,Neutral
AXP100089,Corey Alvarado,M,65.0,Returning,Education,Economy,PNQ-HYD,Website,1985,16,65.0,"₹16,324",5,3.0,2,Delayed,Neutral
AXP100090,Jason Martin DVM,Female,55.0,Returning,Education,First,AMD-HYD,Travel Agent,950,114,157.0,"₹31,609",5,1.0,1,Delayed,Satisfied
AXP100091,Susan Lee,female,19.0,Returning,Personal,Business ,MAA-PNQ,Corporate Portal,1962,146,130.0,"₹8,909",2,5.0,2,Cancelled,Satisfied
AXP100092,Gabrielle Johnson,male,17.0,Returning,Business, Economy,CCU-COK,Corporate Portal,4120,153,121.0,"₹19,038",5,1.0,1,On Time,Satisfied
AXP100093,Eric Kaiser,Female,77.0,First-Time,Business,Economy,AMD-COK,Corporate Portal,4660,47,148.0,"₹13,101",2,4.0,4,Cancelled,Satisfied
AXP100094,Jennifer White,F,21.0,Returning,Personal,Economy,DEL-HYD,Website,681,107,83.0,"₹39,395",5,1.0,4,Cancelled,Neutral
AXP100095,Laurie Cooper,M,69.0,Returning,Medical,Business,HYD-DEL,Travel Agent,353,51,176.0,"₹27,527",1,2.0,5,Delayed,Dissatisfied
AXP100096,Jacqueline Nunez,female,57.0,First-Time,Medical, Economy,CCU-BLR,Mobile App,1724,95,115.0,"₹3,324",2,1.0,2,On Time,Neutral
AXP100097,Mary Odom,female,19.0,First-Time,Education,Business ,GOI-AMD,Travel Agent,2320,69,,"₹34,283",2,1.0,2,Cancelled,Neutral
AXP100098,Sandra Ramos,M,69.0,First-Time,Business,Business,HYD-GOI,Travel Agent,2543,101,115.0,"₹13,441",4,1.0,1,Delayed,Satisfied
AXP100099,Rachel Ramos,Female,44.0,First-Time,Medical, Economy,HYD-BLR,Travel Agent,1440,720,37.0,"₹25,591",5,3.0,4,On Time,Dissatisfied
AXP100100,Paul Long,Female,78.0,First-Time,Education, Economy,DEL-BLR,Travel Agent,260,160,142.0,"₹9,547",5,3.0,1,Cancelled,Neutral
AXP100101,Brenda Compton,female,33.0,First-Time,Personal,Economy,HYD-DEL,Corporate Portal,1138,150,109.0,"₹33,854",2,4.0,4,Cancelled,Dissatisfied
AXP100102,Tammy Rubio,Male,41.0,Returning,Education,First,BLR-CCU,Mobile App,1839,142,179.0,"₹39,033",1,2.0,1,On Time,Neutral
AXP100103,Lisa Shaffer,female,59.0,First-Time,Personal, Economy,DEL-AMD,Website,4320,154,45.0,"₹28,824",1,1.0,4,On Time,Satisfied
AXP100104,Kristen Gibson,male,49.0,First-Time,Business,Business ,HYD-MAA,Corporate Portal,4426,178,24.0,"₹16,925",1,1.0,1,Cancelled,Dissatisfied
AXP100105,Rebekah Baker,F,25.0,Returning,Business,Economy,COK-HYD,Website,3769,81,20.0,"₹33,953",5,1.0,4,On Time,Neutral
AXP100106,Barbara Williams,male,77.0,Returning,Medical,First,AMD-BOM,Website,1452,91,120.0,"₹27,660",4,1.0,1,On Time,Satisfied
AXP100107,Mark Galloway,Male,51.0,Returning,Education,Economy,GOI-GOI,Website,4403,178,121.0,"₹33,374",2,,2,On Time,Dissatisfied
AXP100108,Jill Johnson MD,Female,29.0,First-Time,Business,Business ,COK-HYD,Mobile App,371,174,132.0,"₹18,908",3,4.0,5,Delayed,Neutral
AXP100109,Kayla Cole,male,46.0,First-Time,Medical,Business,COK-PNQ,Travel Agent,1658,3,69.0,"₹9,279",4,5.0,1,On Time,Neutral
AXP100110,Matthew Copeland,M,63.0,Returning,Education,Business ,HYD-DEL,Travel Agent,3749,134,112.0,"₹28,400",3,2.0,5,On Time,Dissatisfied
AXP100111,Carrie Lopez,male,30.0,First-Time,Education,Economy,DEL-PNQ,Travel Agent,4397,108,106.0,"₹11,421",4,1.0,2,Cancelled,Neutral
AXP100112,Sarah Williams,Female,23.0,First-Time,Medical,First,CCU-PNQ,Mobile App,2522,162,111.0,"₹23,863",1,4.0,2,Delayed,Neutral
AXP100113,Leon Jimenez,female,29.0,Returning,Education,Economy,PNQ-COK,Corporate Portal,1836,47,107.0,"₹11,750",5,5.0,4,On Time,Satisfied
AXP100114,Charles Calderon II,male,38.0,First-Time,Business,Economy,BLR-DEL,Mobile App,3315,72,,"₹29,206",3,4.0,5,Cancelled,Neutral
AXP100115,Nicholas Martinez,Male,75.0,Returning,Medical,Business ,BLR-PNQ,Corporate Portal,4290,71,195.0,"₹24,437",4,3.0,3,Delayed,Dissatisfied
AXP100116,Carl Green,F,72.0,First-Time,Business, Economy,CCU-DEL,Mobile App,3204,115,90.0,"₹21,559",5,5.0,4,Cancelled,Dissatisfied
AXP100117,Kenneth Johnson,Female,77.0,First-Time,Medical, Economy,HYD-HYD,Corporate Portal,529,172,17.0,"₹30,826",3,4.0,5,Cancelled,Neutral
AXP100118,Kevin Crawford,M,55.0,Returning,Personal,Business,HYD-AMD,Website,3840,80,148.0,"₹42,120",2,3.0,1,Cancelled,Neutral
AXP100119,Peter Johnson,female,36.0,Returning,Business, Economy,COK-BOM,Corporate Portal,4094,80,103.0,"₹28,811",4,4.0,1,Delayed,Dissatisfied
AXP100120,Chelsea Ritter,Male,31.0,Returning,Personal, Economy,PNQ-BOM,Mobile App,4307,112,150.0,"₹38,003",2,4.0,2,Delayed,Satisfied
AXP100121,Cole Olson,Female,60.0,First-Time,Medical,Economy,MAA-COK,Corporate Portal,1541,95,191.0,"₹7,696",1,5.0,3,Cancelled,Neutral
AXP100122,Marc Pope,M,33.0,Returning,Education,Economy,HYD-DEL,Mobile App,3863,71,194.0,"₹25,732",2,3.0,1,Delayed,Satisfied
AXP100123,Tina Welch,M,62.0,First-Time,Personal,Business ,COK-AMD,Corporate Portal,415,146,39.0,"₹35,001",2,1.0,5,Delayed,Dissatisfied
AXP100124,Elaine Butler,Female,68.0,First-Time,Medical,Economy,DEL-BLR,Travel Agent,538,62,137.0,"₹41,432",4,2.0,5,Cancelled,Satisfied
AXP100125,Mark Oneill,female,39.0,First-Time,Personal,Economy,AMD-BLR,Mobile App,4262,37,88.0,"₹4,762",1,5.0,1,Delayed,Dissatisfied
AXP100126,Michael West,Male,,Returning,Business,Business,DEL-HYD,Corporate Portal,2908,66,179.0,"₹17,528",2,3.0,5,On Time,Dissatisfied
AXP100127,Brian Hensley,female,40.0,First-Time,Medical, Economy,BOM-PNQ,Mobile App,3352,68,199.0,"₹42,880",5,4.0,5,On Time,Dissatisfied
AXP100128,Thomas Hickman,female,,Returning,Medical,Economy,COK-COK,Website,1950,12,60.0,"₹14,675",3,3.0,2,Delayed,Neutral
AXP100129,Donald Knight,female,75.0,First-Time,Education, Economy,HYD-PNQ,Mobile App,2621,174,191.0,"₹18,411",2,2.0,3,On Time,Satisfied
AXP100130,Jenna Burch,female,75.0,First-Time,Medical,Economy,BLR-BOM,Website,909,30,4.0,"₹27,191",1,2.0,2,On Time,Neutral
AXP100131,Peter Baker,M,60.0,First-Time,Business, Economy,PNQ-BLR,Corporate Portal,3926,113,121.0,"₹26,742",2,1.0,3,Cancelled,Satisfied
AXP100132,Nicholas Le,F,56.0,First-Time,Medical, Economy,PNQ-MAA,Travel Agent,3842,21,180.0,"₹25,272",3,1.0,5,Delayed,Satisfied
AXP100133,Tara Miller,Male,44.0,Returning,Medical,Economy,COK-MAA,Mobile App,4193,92,54.0,"₹35,863",1,2.0,3,On Time,Neutral
AXP100134,Veronica Young,M,30.0,First-Time,Business,Business ,PNQ-AMD,Travel Agent,688,170,36.0,"₹3,104",4,5.0,5,On Time,Neutral
AXP100135,Megan Hansen,Female,60.0,First-Time,Personal,First,COK-BOM,Mobile App,246,66,55.0,"₹43,014",1,5.0,5,Cancelled,Neutral
AXP100136,Joseph Morgan,Female,16.0,Returning,Personal,Economy,HYD-MAA,Website,3559,53,186.0,"₹42,267",4,4.0,2,On Time,Neutral
AXP100137,Lisa Odom,female,40.0,First-Time,Business,Business,HYD-BLR,Website,600,137,101.0,"₹29,095",1,1.0,2,Delayed,Satisfied
AXP100138,Ms. Heather Harris,Male,22.0,First-Time,Personal,Business,GOI-AMD,Website,4190,41,,"₹8,063",3,4.0,4,Delayed,Dissatisfied
AXP100139,Ashley Schwartz,M,24.0,First-Time,Medical,First,BLR-CCU,Corporate Portal,3357,63,196.0,"₹18,078",3,1.0,1,On Time,Neutral
AXP100140,Ashley Chavez,M,39.0,First-Time,Medical, Economy,BLR-BLR,Website,4545,125,72.0,"₹12,049",1,,4,On Time,Satisfied
AXP100141,Matthew Kerr,Male,16.0,First-Time,Medical,First,GOI-COK,Mobile App,590,20,58.0,"₹35,764",2,5.0,4,On Time,Neutral
AXP100142,Corey Sanchez,female,59.0,First-Time,Medical, Economy,AMD-AMD,Website,4053,168,1.0,"₹15,318",3,5.0,3,On Time,Dissatisfied
AXP100143,Douglas Snow,Male,23.0,Returning,Medical,First,BOM-BLR,Website,4630,151,192.0,"₹5,899",4,2.0,5,Delayed,Neutral
AXP100144,Ariana Ashley,Male,39.0,Returning,Business,Business ,AMD-DEL,Corporate Portal,828,34,103.0,"₹16,843",4,4.0,5,On Time,Satisfied
AXP100145,Kyle Mcdonald,F,78.0,Returning,Medical,Business ,BOM-DEL,Website,4432,29,187.0,"₹22,787",5,4.0,5,On Time,Dissatisfied
AXP100146,Kristen Taylor,F,26.0,Returning,Personal,Economy,GOI-DEL,Mobile App,3130,56,50.0,"₹31,534",4,3.0,1,Cancelled,Dissatisfied
AXP100147,James Bowman,female,66.0,First-Time,Business, Economy,HYD-PNQ,Corporate Portal,1721,46,29.0,"₹9,085",5,1.0,3,On Time,Satisfied
AXP100148,Matthew Mcclain,F,32.0,Returning,Personal, Economy,DEL-GOI,Travel Agent,1026,162,10.0,"₹25,255",1,4.0,3,On Time,Dissatisfied
AXP100149,Erin Duncan,Female,23.0,First-Time,Medical,Economy,HYD-GOI,Mobile App,1700,18,107.0,"₹28,170",1,2.0,5,Delayed,Dissatisfied
AXP100150,Joshua Barber,F,50.0,First-Time,Medical,Business,GOI-BLR,Mobile App,3494,113,75.0,"₹14,788",1,4.0,4,Cancelled,Satisfied
AXP100151,Jack Rivera,F,50.0,Returning,Education,Business,GOI-DEL,Mobile App,2619,7,166.0,"₹30,899",2,5.0,1,Delayed,Neutral
AXP100152,Tina Johnson,F,48.0,Returning,Education, Economy,PNQ-GOI,Travel Agent,1134,25,89.0,"₹12,879",2,1.0,4,Delayed,Dissatisfied
AXP100153,Patrick Nichols,M,74.0,Returning,Medical,Economy,GOI-AMD,Mobile App,3242,112,122.0,"₹21,675",5,3.0,2,Cancelled,Satisfied
AXP100154,Justin Obrien,male,20.0,First-Time,Personal,Business ,CCU-MAA,Mobile App,4697,70,199.0,"₹23,387",4,1.0,3,On Time,Neutral
AXP100155,Joseph Shelton,F,57.0,Returning,Business,Business,HYD-CCU,Corporate Portal,1666,29,190.0,"₹28,350",4,5.0,3,Delayed,Dissatisfied
AXP100156,Jasmine Rodgers MD,Male,54.0,Returning,Personal,Economy,HYD-MAA,Travel Agent,3761,134,191.0,"₹34,500",1,5.0,4,Cancelled,Neutral
AXP100157,Dr. Melissa Rodriguez MD,F,73.0,First-Time,Personal,Business ,PNQ-BOM,Website,814,66,188.0,"₹5,282",3,5.0,1,On Time,Neutral
AXP100158,Laurie Turner,male,56.0,First-Time,Personal, Economy,MAA-COK,Travel Agent,1382,64,124.0,"₹20,106",2,5.0,3,Cancelled,Neutral
AXP100159,Barry Winters,female,43.0,Returning,Personal,Business ,CCU-DEL,Website,3423,35,181.0,"₹30,638",2,2.0,4,Cancelled,Satisfied
AXP100160,Alexis Wood,female,22.0,First-Time,Business, Economy,BLR-COK,Mobile App,2867,24,121.0,"₹14,764",1,3.0,1,On Time,Neutral
AXP100161,Lisa Carrillo,Female,24.0,First-Time,Education,Economy,GOI-GOI,Website,330,36,93.0,"₹13,717",2,5.0,4,On Time,Neutral
AXP100162,Frederick Chavez,Female,23.0,First-Time,Education,Business,DEL-DEL,Website,3183,0,102.0,"₹29,097",1,5.0,1,Cancelled,Dissatisfied
AXP100163,Summer Montgomery,F,27.0,First-Time,Business,First,AMD-HYD,Website,4478,142,185.0,"₹36,904",5,4.0,5,Delayed,Neutral
AXP100164,Angel Green,Male,49.0,Returning,Business,Business,AMD-MAA,Corporate Portal,4659,36,183.0,"₹9,975",4,3.0,1,On Time,Neutral
AXP100165,Tara Marshall,Male,48.0,First-Time,Personal,Economy,BOM-CCU,Website,238,140,161.0,"₹33,469",3,1.0,2,Cancelled,Satisfied
AXP100166,Emma Fletcher,M,63.0,Returning,Business,Economy,DEL-HYD,Website,4159,135,30.0,"₹8,415",4,3.0,5,On Time,Neutral
AXP100167,Richard Myers,Male,70.0,Returning,Education, Economy,CCU-MAA,Mobile App,3787,132,51.0,"₹25,694",4,3.0,4,On Time,Neutral
